oid,town_na,road_na,site,x,y,CDate,lon,lat
141,新莊區,思源路,中央分隔島,296393.341269,2771473.110141,2013-09-03 16:06:32.65,121.4597988,25.05070976
142,新莊區,思源路,中央分隔島,296393.220483,2771492.233165,2013-09-03 16:06:32.65,121.4597982,25.05088241
143,新莊區,思源路,中央分隔島,296390.469167,2771488.627434,2013-09-03 16:06:32.65,121.4597708,25.05084994
144,新莊區,思源路,中央分隔島,296390.806393,2771454.600771,2013-09-03 16:06:32.65,121.459773,25.05054274
145,新莊區,思源路,中央分隔島,296390.943392,2771458.309455,2013-09-03 16:06:32.65,121.4597745,25.05057622
146,新莊區,思源路,中央分隔島,296393.20346,2771462.389412,2013-09-03 16:06:32.65,121.4597971,25.05061298
147,新莊區,思源路,中央分隔島,296392.909198,2771466.261035,2013-09-03 16:06:32.65,121.4597943,25.05064794
148,板橋區,文化路,人行道,297009.455249,2768056.364585,2013-09-03 16:06:32.65,121.4657884,25.01984422
149,新莊區,思源路,中央分隔島,296390.658857,2771468.859138,2013-09-03 16:06:32.65,121.4597721,25.05067147
150,新莊區,思源路,中央分隔島,296390.589953,2771475.974136,2013-09-03 16:06:32.65,121.4597716,25.0507357
151,新莊區,思源路,人行道,296421.886141,2771482.028971,2013-09-03 16:06:32.65,121.460082,25.05078941
152,新莊區,思源路,人行道,296422.101615,2771475.668105,2013-09-03 16:06:32.65,121.4600839,25.05073197
153,新莊區,思源路,人行道,296422.317246,2771469.953661,2013-09-03 16:06:32.65,121.4600858,25.05068038
154,新莊區,思源路,人行道,296422.425452,2771464.13148,2013-09-03 16:06:32.65,121.4600867,25.05062781
155,新莊區,思源路,人行道,296421.993878,2771458.309611,2013-09-03 16:06:32.65,121.4600822,25.05057526
156,新莊區,思源路,人行道,296422.101772,2771452.379693,2013-09-03 16:06:32.65,121.4600831,25.05052173
157,新莊區,思源路,人行道,296380.920625,2771454.479986,2013-09-03 16:06:32.65,121.4596751,25.05054195
158,新莊區,思源路,人行道,296381.17922,2771446.57137,2013-09-03 16:06:32.65,121.4596774,25.05047054
159,板橋區,文化路,人行道,297010.223939,2768061.361067,2013-09-03 16:06:32.65,121.4657961,25.01988931
160,新莊區,思源路,人行道,296381.084375,2771443.888149,2013-09-03 16:06:32.65,121.4596763,25.05044632
161,新莊區,思源路,人行道,296380.662031,2771435.840914,2013-09-03 16:06:32.65,121.4596719,25.05037368
162,新莊區,思源路,人行道,296380.782816,2771428.22494,2013-09-03 16:06:32.65,121.4596728,25.05030492
163,新莊區,思源路,人行道,296380.756876,2771424.602185,2013-09-03 16:06:32.65,121.4596724,25.05027222
164,新莊區,思源路,人行道,296381.17922,2771408.938166,2013-09-03 16:06:32.65,121.4596761,25.05013079
165,新莊區,思源路,中央分隔島,296391.538403,2771364.3375,2013-09-03 16:06:32.65,121.4597773,25.04972782
166,新莊區,思源路,中央分隔島,296391.633248,2771369.168111,2013-09-03 16:06:32.65,121.4597784,25.04977142
167,新莊區,思源路,中央分隔島,296391.038237,2771389.109883,2013-09-03 16:06:32.65,121.4597731,25.04995148
168,新莊區,思源路,中央分隔島,296391.055261,2771414.105193,2013-09-03 16:06:32.65,121.4597741,25.05017714
169,新莊區,思源路,中央分隔島,296391.02932,2771406.627838,2013-09-03 16:06:32.65,121.4597736,25.05010963
170,板橋區,文化路,人行道,297013.875214,2768066.549721,2013-09-03 16:06:32.65,121.4658325,25.01993604
171,新莊區,思源路,中央分隔島,296391.150106,2771401.297872,2013-09-03 16:06:32.65,121.4597746,25.05006151
172,新莊區,思源路,中央分隔島,296390.710738,2771381.458242,2013-09-03 16:06:32.65,121.4597696,25.04988241
173,新莊區,思源路,中央分隔島,296393.099698,2771450.762386,2013-09-03 16:06:32.65,121.4597956,25.05050801
174,新莊區,思源路,中央分隔島,296391.304939,2771446.665405,2013-09-03 16:06:32.65,121.4597777,25.05047108
175,新莊區,思源路,中央分隔島,296391.667295,2771442.421699,2013-09-03 16:06:32.65,121.4597812,25.05043276
176,新莊區,思源路,中央分隔島,296391.391677,2771435.685271,2013-09-03 16:06:32.65,121.4597782,25.05037195
177,新莊區,思源路,中央分隔島,296391.642165,2771431.243768,2013-09-03 16:06:32.65,121.4597805,25.05033184
178,新莊區,思源路,中央分隔島,296391.685129,2771424.499233,2013-09-03 16:06:32.65,121.4597807,25.05027095
179,新莊區,思源路,人行道,296381.240018,2771388.660788,2013-09-03 16:06:32.65,121.459676,25.04994772
180,新莊區,思源路,人行道,296381.188137,2771365.77801,2013-09-03 16:06:32.65,121.4596747,25.04974114
